min_lng_rank,min_lat_rank,max_lng_rank,max_lat_rank,num_squares,county,ttl,pre_mult,mult,sqrt_mult,mid_lng_rank,mid_lat_rank,lat_rank_range,scaled_min_lat_rank,scaled_max_lat_rank,lng_rank_range,scaled_min_lng_rank,scaled_max_lng_rank,new_mid_lat_rank,new_mid_lng_rank,dummy
60.0,27.0,64.0,35.0,31,Columbia,4951,159.70967741935485,60.150397989107674,7.7556687647879645,62.0,31.0,9.0,4.649495537866009,74.45051442095769,5.0,42.87232252846448,81.6506663524043,39.55000497941185,62.26149444043439,1
37.0,35.0,40.0,40.0,24,Cortland,1846,76.91666666666667,28.968614718614717,5.382249968053761,38.5,37.5,6.0,2.655006213279435,34.948506021602,4.0,-22.60969346253897,-1.0806935903239268,18.801756117440718,-11.84519352643145,1
45.0,25.0,54.0,35.0,70,Delaware,1949,27.84285714285714,10.486270871985157,3.2382512058185284,49.5,30.0,11.0,40.25368647465055,75.87444973865436,10.0,7.46086476145085,39.843376819636134,58.064068106652456,23.652120790543492,1
59.0,18.0,63.0,28.0,37,Dutchess,18951,512.1891891891893,192.90242190242188,13.88893163286586,61.0,23.0,11.0,-140.78156297790693,11.996684983617541,5.0,-0.29105327778442813,69.15360488654487,-64.3924389971447,34.43127580438022,1
9.0,35.0,14.0,46.0,48,Erie,75624,1575.5,593.3701298701299,24.35918984428936,11.5,40.5,12.0,-94.59702790703933,197.713250224433,6.0,-269.06333609415185,-122.90819702841567,51.55811115869683,-195.98576656128375,1
56.0,58.0,65.0,70.0,88,Essex,1529,17.375,6.5438311688311686,2.5580913136225547,60.5,64.0,13.0,107.65710064220308,140.91228771929627,10.0,53.416767364257865,78.99768050048341,124.28469418074968,66.20722393237064,1
52.0,64.0,59.0,78.0,83,Franklin,1842,22.192771084337355,8.358316382412767,2.8910752986411072,55.5,71.0,15.0,108.47273974269662,151.83886922231324,8.0,53.134502585164576,76.26310497429344,130.15580448250492,64.698803779729,1
52.0,45.0,57.0,49.0,23,Fulton,1406,61.1304347826087,23.023150762281194,4.7982445500704936,54.5,47.0,5.0,77.74219358963016,101.73341633998264,6.0,52.276931485572064,81.06639878599502,89.7378049648064,66.67166513578354,1
15.0,43.0,20.0,46.0,24,Genesee,1492,62.16666666666666,23.413419913419908,4.838741562991344,17.5,44.5,4.0,47.5798435071442,66.93480975910957,6.0,-37.78506454893325,-8.752615170985191,57.25732663312689,-23.268839859959222,1
54.0,29.0,60.0,35.0,31,Greene,1999,64.48387096774194,24.28613322161709,4.928096308070399,57.0,32.0,7.0,77.8208322369011,112.31750639339388,7.0,82.01038283540893,116.50705699190172,95.06916931514749,99.25871991365533,1
51.0,49.0,58.0,63.0,87,Hamilton,231,2.655172413793104,1.0,1.0,54.5,56.0,15.0,78.34888261345091,93.34888261345091,8.0,42.27677107546341,50.27677107546341,85.84888261345091,46.27677107546341,1
47.0,42.0,51.0,62.0,70,Herkimer,1521,21.728571428571424,8.183487940630798,2.8606796291494785,49.0,52.0,21.0,124.71375488034921,184.78802709248828,5.0,38.79279818189781,53.0961963276452,154.75089098641874,45.944497254771505,1
35.0,56.0,44.0,67.0,64,Jefferson,2259,35.296875,13.293628246753244,3.6460428202029176,39.5,61.5,12.0,123.91890929586893,167.67142313830394,10.0,2.9923282220766865,39.452756424105864,145.79516621708643,21.222542323091275,1
59.0,3.0,60.0,5.0,4,Kings,296159,74039.75,27885.10064935065,166.9883248893486,59.5,4.0,3.0,-693.9799793969031,-193.01500472885732,2.0,117.50961080478012,451.48626058347736,-443.4974920628802,284.4979356941287,1
41.0,52.0,47.0,64.0,64,Lewis,491,7.671875,2.8894074675324672,1.6998257168111286,44.0,58.0,13.0,102.19532733395945,124.29306165250412,7.0,40.19929316063774,52.09807317831563,113.24419449323179,46.14868316947668,1
20.0,36.0,24.0,44.0,31,Livingston,2391,77.12903225806451,29.04859656472559,5.389674996205764,22.0,40.0,9.0,69.97599618647348,118.48307115232535,5.0,-34.19958747733747,-7.251212496308646,94.22953366939942,-20.725399986823057,1
40.0,40.0,46.0,47.0,35,Madison,3061,87.45714285714287,32.938404452690165,5.739198938239566,43.0,43.5,8.0,77.36787875038348,123.2814702563,7.0,-6.960578499677389,33.21381406799957,100.32467450334174,13.126617784161091,1
20.0,44.0,25.0,50.0,31,Monroe,45446,1466.0,552.1298701298701,23.4974439063033,22.5,47.0,7.0,81.00331935537287,245.48542669949597,6.0,-208.95747430960694,-67.97281087178715,163.24437302743442,-138.46514259069704,1
52.0,41.0,57.0,44.0,21,Montgomery,1522,72.47619047619048,27.29622758194187,5.2245791774976365,54.5,42.5,4.0,75.93642284199852,96.83473955198907,6.0,11.94004580509156,43.28752087007738,86.3855811969938,27.61378333758447,1
62.0,3.0,64.0,8.0,14,Nassau,77998,5571.285714285716,2098.2764378478664,45.80694748450137,63.0,5.5,6.0,-343.0614419058602,-68.21975699885192,3.0,46.290723492595276,183.7115659460994,-205.64059945235604,115.00114471934734,1
59.0,6.0,59.0,6.0,1,New York,236022,236022.0,88891.40259740257,298.146612587503,59.0,6.0,1.0,-446.8277960177203,-148.6811834302173,1.0,69.91034425127611,368.0569568387791,-297.7544897239688,218.98365054502761,1
9.0,45.0,14.0,50.0,25,Niagara,9868,394.72,148.66077922077926,12.192652673671107,11.5,47.5,6.0,67.69566869279961,140.85158473482625,6.0,-109.08802845907087,-35.932112417044216,104.27362671381293,-72.51007043805754,1
41.0,43.0,48.0,54.0,57,Oneida,7247,127.14035087719299,47.88402825244929,6.919828628835349,44.5,48.5,12.0,180.9996939596772,264.03763750570135,8.0,60.34658120832105,115.70521023900383,222.51866573268927,88.02589572366244,1
35.0,41.0,40.0,48.0,37,Onondaga,24304,656.8648648648649,247.39066339066338,15.72865739313637,37.5,44.5,8.0,163.3449998309199,289.17425897601083,6.0,-91.85576345026206,2.5161809085561515,226.25962940346537,-44.669791270852954,1
24.0,38.0,29.0,45.0,29,Ontario,4870,167.9310344827586,63.24675324675325,7.952782736046123,26.5,41.5,8.0,74.35171110790202,137.97397299627102,6.0,-54.349808809910876,-6.633112393634143,106.16284205208652,-30.49146060177251,1
52.0,13.0,59.0,20.0,39,Orange,18961,486.1794871794871,183.1065601065601,13.531687260152006,55.5,16.5,8.0,-65.4419555494004,42.81154253181565,8.0,88.52882908920535,196.78232717042138,-11.315206508792382,142.65557812981336,1
15.0,47.0,19.0,50.0,20,Orleans,833,41.65,15.686363636363636,3.9606014235673386,17.0,48.5,4.0,52.293269155745044,68.1356748500144,5.0,-35.36595446893277,-15.562947351096078,60.214472002879724,-25.464450910014424,1
33.0,49.0,41.0,56.0,48,Oswego,3162,65.875,24.81006493506493,4.980970280484008,37.0,52.5,8.0,78.29780093408489,118.14556317795696,9.0,-6.439652774476109,38.38907974987996,98.22168205602092,15.974713487701926,1
45.0,33.0,52.0,42.0,51,Otsego,3129,61.352941176470594,23.106951871657753,4.8069690941026195,48.5,37.5,10.0,75.93183757179062,124.0015285128168,8.0,-7.204493371426812,31.251259381394142,99.96668304230371,12.023383004983666,1
60.0,16.0,63.0,19.0,11,Putnam,5719,519.9090909090909,195.80991735537185,13.993209687393804,61.5,17.5,4.0,18.298896881160495,74.27173563073572,4.0,40.47640855133181,96.44924730090702,46.2853162559481,68.46282792611942,1
60.0,4.0,61.0,6.0,5,Queens,182995,36599.0,13784.03896103896,117.40544689680695,60.5,5.0,3.0,-421.6011743712732,-69.38483368085235,2.0,80.78470154364902,315.5955953372629,-245.49300402606278,198.19014844045597,1
61.0,36.0,65.0,43.0,32,Rensselaer,7983,249.46875,93.95576298701296,9.693078096611671,63.0,39.5,8.0,49.50038848834248,127.04501326123585,5.0,116.59987116761911,165.06526165067746,88.27270087478917,140.83256640914828,1
57.0,2.0,58.0,3.0,3,Richmond,25851,8617.0,3245.363636363636,56.96809314312386,57.5,2.5,2.0,-202.7263056270639,-88.79011934081618,2.0,-68.0134456991901,45.922740587057625,-145.75821248394004,-11.045352556066234,1
57.0,11.0,59.0,15.0,8,Rockland,23080,2885.0,1086.5584415584417,32.96298593207905,58.0,13.0,5.0,-215.85225658415945,-51.0373269237642,3.0,-54.73081861629683,44.15813917994032,-133.44479175396182,-5.2863397181782545,1
