county_name,lat,lng,state,lng_rank,lat_rank,nyc,min_lng_rank,min_lat_rank,max_lng_rank,max_lat_rank,num_squares,county,ttl,pre_mult,mult,sqrt_mult,mid_lng_rank,mid_lat_rank,scaled_lng_rank,scaled_lat_rank,test_lat_rank,test_lng_rank,new_scaled_lat_rank,new_scaled_lng_rank,square_id,min_new_scaled_lat_rank,min_new_scaled_lng_rank,max_new_scaled_lat_rank,max_new_scaled_lng_rank,dummy,prop_scaled_lat_rank,prop_scaled_lng_rank,min_prop_scaled_lat_rank,min_prop_scaled_lng_rank,max_prop_scaled_lat_rank,max_prop_scaled_lng_rank
Hamilton,43.6794936709,-74.5778481013,NY,53.0,56.0,False,51.0,49.0,58.0,63.0,87,Hamilton,231,2.655172413793104,1.0,1.0,54.5,56.0,51.5,56.0,16696.210304900167,15801.77046713766,13037.50221460817,12908.509045968685,10,16695.710304900167,15801.27046713766,16696.710304900167,15802.27046713766,1,13037.50221460817,12908.509045968685,13037.00221460817,12908.009045968685,13038.00221460817,12909.009045968685
Dutchess,41.520379746799996,-73.9672151899,NY,59.0,19.0,False,59.0,18.0,63.0,28.0,37,Dutchess,18951,512.1891891891893,192.90242190242188,13.88893163286586,61.0,23.0,31.222136734268283,-36.555726531463435,5664.785639162557,17590.650142662682,13119.243911546777,12695.068137723332,11,5657.841173346124,17583.70567684625,5671.73010497899,17597.594608479114,1,13119.243911546777,12695.068137723332,13112.299445730345,12688.1236719069,13126.188377363209,12702.012603539764
Suffolk,40.936835443,-73.05126582279999,NY,68.0,9.0,False,64.0,4.0,79.0,15.0,48,Suffolk,65213,1358.6041666666667,511.6820887445887,22.620390994511762,71.5,9.5,-11.17136848079116,-2.31019549725588,2683.3195132875267,20273.969655950204,11254.835290234738,14191.576556170918,12,2672.009317790271,20262.65946045295,2694.6297087847825,20285.27985144746,1,12652.72155531976,12707.008799425339,12641.411359822505,12695.698603928084,12664.031750817016,12718.318994922594
Saratoga,42.9208860759,-73.865443038,NY,60.0,43.0,False,58.0,41.0,62.0,51.0,39,Saratoga,10035,257.3076923076923,96.9080919080919,9.844190769590556,60.0,46.0,60.0,13.46742769122833,12820.304341262627,17888.79675525018,12618.047833562352,14009.950888541534,13,12815.382245877832,17883.874659865385,12825.226436647421,17893.718850634974,1,12260.25374752044,12136.687279382153,12255.331652135646,12131.765183997359,12265.175842905235,12141.609374766947
Jefferson,44.1463291139,-76.1044303797,NY,38.0,64.0,False,35.0,56.0,44.0,67.0,64,Jefferson,2259,35.296875,13.293628246753244,3.6460428202029176,39.5,61.5,32.530935769695624,73.11510705050729,19081.383205600192,11329.571278325117,13179.483538641896,12857.514949110217,14,19079.56018419009,11327.748256915014,19083.206227010294,11331.394299735219,1,13179.483538641896,12857.514949110217,13177.660517231794,12855.691927700114,13181.306560051999,12859.337970520319
Tioga,42.220632911399996,-76.2062025316,NY,37.0,31.0,False,34.0,28.0,38.0,34.0,24,Tioga,1800,75.0,28.246753246753244,5.314767468737767,36.0,31.0,42.31476746873778,31.0,9242.544990212591,11031.424665737612,11573.857007507457,12869.013311688665,15,9239.887606478222,11028.767282003242,9245.20237394696,11034.082049471981,1,11573.857007507457,12869.013311688665,11571.199623773087,12866.355927954295,11576.514391241826,12871.670695423034
Clinton,44.78822784810001,-73.4583544304,NY,64.0,75.0,False,59.0,69.0,64.0,78.0,49,Clinton,2423,49.44897959183673,18.62364166445799,4.315511750008102,61.5,73.5,74.78877937502024,81.47326762501216,22360.995944062724,19081.383205600192,11624.010654903477,12618.628670455895,16,22358.83818818772,19079.22544972519,22363.153699937728,19083.540961475195,1,11624.010654903477,12618.628670455895,11621.852899028474,12616.470914580892,11626.16841077848,12620.786426330898
Sullivan,41.9288607595,-74.6796202532,NY,52.0,26.0,False,48.0,18.0,54.0,27.0,48,Sullivan,3813,79.4375,29.91801948051948,5.469736692064754,51.0,22.5,57.469736692064764,45.14407842222664,7751.811927275078,15503.623854550156,11835.890606399085,13231.394690122312,17,7749.077058929046,15500.888986204123,7754.5467956211105,15506.35872289619,1,11835.890606399085,13231.394690122312,11833.155738053052,13228.659821776278,11838.625474745118,13234.129558468345
Wyoming,42.7458227848,-78.1398734177,NY,18.0,40.0,False,15.0,37.0,19.0,42.0,30,Wyoming,899,29.966666666666665,11.286147186147184,3.3594861491226875,17.0,39.5,21.359486149122688,41.679743074561344,11925.86450350012,5366.639026575053,12586.690967040633,13574.386711174575,18,11924.184760425558,5364.959283500492,11927.54424657468,5368.318769649614,1,12586.690967040633,13574.386711174575,12585.011223966072,13572.706968100014,12588.370710115194,13576.066454249136
Tompkins,42.5124050633,-76.4097468354,NY,35.0,36.0,False,33.0,33.0,36.0,37.0,19,Tompkins,10634,559.6842105263158,210.79015721120984,14.518614162901699,34.5,35.0,42.25930708145086,50.518614162901706,10733.278053150107,10435.131440562604,11785.654730557,12464.211070109846,19,10726.018746068656,10427.872133481153,10740.537360231558,10442.390747644054,1,11785.654730557,12464.211070109846,11778.39542347555,12456.951763028395,11792.914037638451,12471.470377191297
Madison,42.7458227848,-75.7991139241,NY,41.0,40.0,False,40.0,40.0,46.0,47.0,35,Madison,3061,87.45714285714287,32.938404452690165,5.739198938239566,43.0,43.5,29.52160212352087,19.91280371616152,11925.86450350012,12224.011116087622,12846.50888385673,13612.180130450955,20,11922.994904030998,12221.141516618502,11928.73410296924,12226.880715556743,1,12846.50888385673,13612.180130450955,12843.63928438761,13609.310530981835,12849.37848332585,13615.049729920076
Ontario,42.8625316456,-77.5292405063,NY,24.0,42.0,False,24.0,38.0,29.0,45.0,29,Ontario,4870,167.9310344827586,63.24675324675325,7.952782736046123,26.5,41.5,4.118043159884696,45.97639136802306,12522.157728675125,7155.518702100072,12640.271028937977,11091.31574957816,21,12518.181337307102,7151.542310732049,12526.134120043149,7159.495093468095,1,12409.895772616826,13212.587894403767,12405.919381248803,13208.611503035743,12413.87216398485,13216.56428577179
Essex,44.3797468354,-73.5601265823,NY,63.0,68.0,False,56.0,58.0,65.0,70.0,88,Essex,1529,17.375,6.5438311688311686,2.5580913136225547,60.5,64.0,69.39522828405639,78.23236525449022,20273.969655950204,18783.23659301269,11986.910808439507,12845.550475720374,22,20272.690610293394,18781.95754735588,20275.248701607015,18784.5156386695,1,11986.910808439507,12845.550475720374,11985.631762782696,12844.271430063563,11988.189854096318,12846.829521377185
Albany,42.4540506329,-74.0689873418,NY,58.0,35.0,False,57.0,35.0,61.0,40.0,24,Albany,27049,1127.0416666666667,424.47023809523813,20.60267550817704,59.0,37.5,37.397324491822964,-16.5066887704426,10435.131440562604,17292.50353007517,13123.240356622504,12447.301313923217,23,10424.830102808515,17282.20219232108,10445.432778316692,17302.804867829258,1,11754.798330980791,13501.689453187895,11744.496993226703,13491.388115433807,11765.09966873488,13511.990790941984
Onondaga,43.1543037975,-76.3079746835,NY,36.0,47.0,False,35.0,41.0,40.0,48.0,37,Onondaga,24304,656.8648648648649,247.39066339066338,15.72865739313637,37.5,44.5,12.407013910295449,86.32164348284094,14012.89079161264,10733.278053150107,12371.192664921058,13982.560035267832,24,14005.026462916072,10725.413724453538,14020.75512030921,10741.142381846676,1,12469.41215154641,12129.443391972842,12461.547822849841,12121.579063276273,12477.27648024298,12137.30772066941
Madison,43.1543037975,-75.7991139241,NY,41.0,47.0,False,40.0,40.0,46.0,47.0,35,Madison,3061,87.45714285714287,32.938404452690165,5.739198938239566,43.0,43.5,29.52160212352087,67.08719628383847,14012.89079161264,12224.011116087622,12108.147210660934,13649.373923277877,25,14010.02119214352,12221.141516618502,14015.760391081762,12226.880715556743,1,12108.147210660934,13649.373923277877,12105.277611191814,13646.504323808756,12111.016810130055,13652.243522746998
Herkimer,43.796202531599995,-74.98493670890001,NY,49.0,58.0,False,47.0,42.0,51.0,62.0,70,Herkimer,1521,21.728571428571424,8.183487940630798,2.8606796291494785,49.0,52.0,49.0,75.16407777489688,17292.50353007517,14609.184016787649,13015.651816013104,13103.279716080624,26,17291.073190260595,14607.753676973074,17293.933869889745,14610.614356602224,1,13015.651816013104,13103.279716080624,13014.221476198529,13101.84937626605,13017.082155827678,13104.710055895199
St Lawrence,44.554810126599996,-74.6796202532,NY,52.0,71.0,False,41.0,63.0,53.0,78.0,138,St Lawrence,3837,27.80434782608696,10.471767363071711,3.2360110264138022,47.0,70.5,68.180055132069,72.6180055132069,21168.409493712712,15503.623854550156,13111.022021040897,12971.435368567796,27,21166.791488199506,15502.00584903695,21170.02749922592,15505.241860063363,1,13111.022021040897,12971.435368567796,13109.40401552769,12969.81736305459,13112.640026554103,12973.053374081002
