county_name,min_lng_rank,min_lat_rank,max_lng_rank,max_lat_rank,num_squares,county,ttl,pre_mult,mult,sqrt_mult,mid_lng_rank,mid_lat_rank,lat_rank_range,scaled_min_lat_rank,scaled_max_lat_rank,lng_rank_range,scaled_min_lng_rank,scaled_max_lng_rank
Cortland,37.0,35.0,40.0,40.0,24,Cortland,1846,76.91666666666667,28.968614718614717,5.382249968053761,38.5,37.5,6.0,21.353250095838717,53.64674990416128,4.0,27.735500063892477,49.264499936107526
Delaware,45.0,25.0,54.0,35.0,70,Delaware,1949,27.84285714285714,10.486270871985157,3.238251205818529,49.5,30.0,11.0,12.18961836799809,47.810381632001906,10.0,33.30874397090736,65.69125602909264
Dutchess,59.0,18.0,63.0,28.0,37,Dutchess,18951,512.1891891891892,192.90242190242188,13.888931632865859,61.0,23.0,11.0,-53.38912398076222,99.38912398076222,5.0,26.27767091783535,95.72232908216465
Erie,9.0,35.0,14.0,46.0,48,Erie,75624,1575.5,593.3701298701299,24.35918984428936,11.5,40.5,12.0,-105.65513906573617,186.65513906573617,6.0,-61.57756953286808,84.57756953286808
Essex,56.0,58.0,65.0,70.0,88,Essex,1529,17.375,6.5438311688311686,2.5580913136225547,60.5,64.0,13.0,47.372406461453394,80.6275935385466,10.0,47.70954343188723,73.29045656811277
Franklin,52.0,64.0,59.0,78.0,83,Franklin,1842,22.19277108433735,8.358316382412767,2.8910752986411072,55.5,71.0,15.0,49.3169352601917,92.6830647398083,8.0,43.93569880543557,67.06430119456442
Fulton,52.0,45.0,57.0,49.0,23,Fulton,1406,61.130434782608695,23.023150762281194,4.7982445500704936,54.5,47.0,5.0,35.00438862482377,58.99561137517623,6.0,40.10526634978852,68.89473365021148
Genesee,15.0,43.0,20.0,46.0,24,Genesee,1492,62.166666666666664,23.41341991341991,4.838741562991344,17.5,44.5,4.0,34.82251687401731,54.17748312598269,6.0,2.983775311025969,32.016224688974035
Greene,54.0,29.0,60.0,35.0,31,Greene,1999,64.48387096774194,24.286133221617092,4.928096308070399,57.0,32.0,7.0,14.751662921753606,49.248337078246394,7.0,39.751662921753606,74.2483370782464
Hamilton,51.0,49.0,58.0,63.0,87,Hamilton,231,2.6551724137931036,1.0,1.0,54.5,56.0,15.0,48.5,63.5,8.0,50.5,58.5
Herkimer,47.0,42.0,51.0,62.0,70,Herkimer,1521,21.728571428571428,8.183487940630798,2.8606796291494785,49.0,52.0,21.0,21.962863893930475,82.03713610606952,5.0,41.8483009271263,56.1516990728737
Jefferson,35.0,56.0,44.0,67.0,64,Jefferson,2259,35.296875,13.293628246753245,3.6460428202029176,39.5,61.5,12.0,39.623743078782496,83.3762569212175,10.0,21.26978589898541,57.73021410101459
Kings,59.0,3.0,60.0,5.0,4,Kings,296159,74039.75,27885.100649350647,166.9883248893486,59.5,4.0,3.0,-246.4824873340229,254.4824873340229,2.0,-107.4883248893486,226.4883248893486
Lewis,41.0,52.0,47.0,64.0,64,Lewis,491,7.671875,2.8894074675324672,1.6998257168111286,44.0,58.0,13.0,46.95113284072767,69.04886715927233,7.0,38.05060999116105,49.94939000883895
Livingston,20.0,36.0,24.0,44.0,31,Livingston,2391,77.12903225806451,29.048596564725592,5.3896749962057635,22.0,40.0,9.0,15.746462517074065,64.25353748292594,5.0,8.525812509485592,35.47418749051441
Madison,40.0,40.0,46.0,47.0,35,Madison,3061,87.45714285714286,32.938404452690165,5.739198938239566,43.0,43.5,8.0,20.543204247041736,66.45679575295827,7.0,22.91280371616152,63.08719628383848
Monroe,20.0,44.0,25.0,50.0,31,Monroe,45446,1466.0,552.1298701298701,23.4974439063033,22.5,47.0,7.0,-35.241053672061554,129.24105367206155,6.0,-47.992331718909895,92.9923317189099
Montgomery,52.0,41.0,57.0,44.0,21,Montgomery,1522,72.47619047619048,27.296227581941867,5.224579177497636,54.5,42.5,4.0,32.05084164500473,52.94915835499527,6.0,38.82626246750709,70.17373753249291
Nassau,62.0,3.0,64.0,8.0,14,Nassau,77998,5571.285714285715,2098.2764378478664,45.80694748450137,63.0,5.5,6.0,-131.92084245350412,142.92084245350412,3.0,-5.710421226752061,131.71042122675206
New York,59.0,6.0,59.0,6.0,1,New York,236022,236022.0,88891.40259740259,298.146612587503,59.0,6.0,1.0,-143.0733062937515,155.0733062937515,1.0,-90.0733062937515,208.0733062937515
Niagara,9.0,45.0,14.0,50.0,25,Niagara,9868,394.72,148.66077922077923,12.192652673671109,11.5,47.5,6.0,10.92204197898667,84.07795802101333,6.0,-25.07795802101333,48.07795802101333
Oneida,41.0,43.0,48.0,54.0,57,Oneida,7247,127.14035087719299,47.884028252449305,6.919828628835349,44.5,48.5,12.0,6.9810282269879025,90.0189717730121,8.0,16.820685484658604,72.17931451534139
Onondaga,35.0,41.0,40.0,48.0,37,Onondaga,24304,656.8648648648649,247.39066339066338,15.72865739313637,37.5,44.5,8.0,-18.41462957254548,107.41462957254548,6.0,-9.685972179409106,84.6859721794091
Ontario,24.0,38.0,29.0,45.0,29,Ontario,4870,167.93103448275863,63.246753246753244,7.952782736046122,26.5,41.5,8.0,9.688869055815513,73.31113094418448,6.0,2.6416517918616336,50.358348208138366
Orange,52.0,13.0,59.0,20.0,39,Orange,18961,486.1794871794872,183.1065601065601,13.531687260152006,55.5,16.5,8.0,-37.626749040608026,70.62674904060802,8.0,1.3732509593919744,109.62674904060802
Orleans,15.0,47.0,19.0,50.0,20,Orleans,833,41.65,15.686363636363634,3.960601423567339,17.0,48.5,4.0,40.57879715286532,56.42120284713468,5.0,7.098496441081652,26.90150355891835
Oswego,33.0,49.0,41.0,56.0,48,Oswego,3162,65.875,24.810064935064933,4.980970280484008,37.0,52.5,8.0,32.576118878063966,72.42388112193603,9.0,14.585633737821965,59.414366262178035
