h4,p,table,candidate,party,ttl,pcnt,ttl_reg_voters,county
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 6686      
  Results for Essex county 42 of 42 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    312                 
                    20.41                 

                    Letitia A. James                 
                    DEM                 
                    274                 
                    17.92                 

                    Leecia R. Eve                 
                    DEM                 
                    48                 
                    3.14                 

                    Zephyr Teachout                 
                    DEM                 
                    803                 
                    52.52                 

                    Blank                 

                    72                 
                    4.71                 

                    Void                 

                    15                 
                    0.98                 

                    Write-in                 

                    5                 
                    0.33",Write-in,,5,0.33,6686,Essex
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 9734      
  Results for Franklin county 20 of 20 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    650                 
                    35.29                 

                    Letitia A. James                 
                    DEM                 
                    310                 
                    16.83                 

                    Leecia R. Eve                 
                    DEM                 
                    89                 
                    4.83                 

                    Zephyr Teachout                 
                    DEM                 
                    652                 
                    35.40                 

                    Blank                 

                    132                 
                    7.17                 

                    Void                 

                    5                 
                    0.27                 

                    Write-in                 

                    4                 
                    0.22",Sean Patrick Maloney,DEM,650,35.29,9734,Franklin
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 9734      
  Results for Franklin county 20 of 20 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    650                 
                    35.29                 

                    Letitia A. James                 
                    DEM                 
                    310                 
                    16.83                 

                    Leecia R. Eve                 
                    DEM                 
                    89                 
                    4.83                 

                    Zephyr Teachout                 
                    DEM                 
                    652                 
                    35.40                 

                    Blank                 

                    132                 
                    7.17                 

                    Void                 

                    5                 
                    0.27                 

                    Write-in                 

                    4                 
                    0.22",Letitia A. James,DEM,310,16.83,9734,Franklin
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 9734      
  Results for Franklin county 20 of 20 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    650                 
                    35.29                 

                    Letitia A. James                 
                    DEM                 
                    310                 
                    16.83                 

                    Leecia R. Eve                 
                    DEM                 
                    89                 
                    4.83                 

                    Zephyr Teachout                 
                    DEM                 
                    652                 
                    35.40                 

                    Blank                 

                    132                 
                    7.17                 

                    Void                 

                    5                 
                    0.27                 

                    Write-in                 

                    4                 
                    0.22",Leecia R. Eve,DEM,89,4.83,9734,Franklin
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 9734      
  Results for Franklin county 20 of 20 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    650                 
                    35.29                 

                    Letitia A. James                 
                    DEM                 
                    310                 
                    16.83                 

                    Leecia R. Eve                 
                    DEM                 
                    89                 
                    4.83                 

                    Zephyr Teachout                 
                    DEM                 
                    652                 
                    35.40                 

                    Blank                 

                    132                 
                    7.17                 

                    Void                 

                    5                 
                    0.27                 

                    Write-in                 

                    4                 
                    0.22",Zephyr Teachout,DEM,652,35.40,9734,Franklin
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 9734      
  Results for Franklin county 20 of 20 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    650                 
                    35.29                 

                    Letitia A. James                 
                    DEM                 
                    310                 
                    16.83                 

                    Leecia R. Eve                 
                    DEM                 
                    89                 
                    4.83                 

                    Zephyr Teachout                 
                    DEM                 
                    652                 
                    35.40                 

                    Blank                 

                    132                 
                    7.17                 

                    Void                 

                    5                 
                    0.27                 

                    Write-in                 

                    4                 
                    0.22",Blank,,132,7.17,9734,Franklin
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 9734      
  Results for Franklin county 20 of 20 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    650                 
                    35.29                 

                    Letitia A. James                 
                    DEM                 
                    310                 
                    16.83                 

                    Leecia R. Eve                 
                    DEM                 
                    89                 
                    4.83                 

                    Zephyr Teachout                 
                    DEM                 
                    652                 
                    35.40                 

                    Blank                 

                    132                 
                    7.17                 

                    Void                 

                    5                 
                    0.27                 

                    Write-in                 

                    4                 
                    0.22",Void,,5,0.27,9734,Franklin
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 9734      
  Results for Franklin county 20 of 20 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    650                 
                    35.29                 

                    Letitia A. James                 
                    DEM                 
                    310                 
                    16.83                 

                    Leecia R. Eve                 
                    DEM                 
                    89                 
                    4.83                 

                    Zephyr Teachout                 
                    DEM                 
                    652                 
                    35.40                 

                    Blank                 

                    132                 
                    7.17                 

                    Void                 

                    5                 
                    0.27                 

                    Write-in                 

                    4                 
                    0.22",Write-in,,4,0.22,9734,Franklin
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 7471      
  Results for Fulton county 42 of 42 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    622                 
                    44.24                 

                    Letitia A. James                 
                    DEM                 
                    168                 
                    11.95                 

                    Leecia R. Eve                 
                    DEM                 
                    44                 
                    3.13                 

                    Zephyr Teachout                 
                    DEM                 
                    501                 
                    35.63                 

                    Blank                 

                    51                 
                    3.63                 

                    Void                 

                    17                 
                    1.21                 

                    Write-in                 

                    3                 
                    0.21",Sean Patrick Maloney,DEM,622,44.24,7471,Fulton
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 7471      
  Results for Fulton county 42 of 42 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    622                 
                    44.24                 

                    Letitia A. James                 
                    DEM                 
                    168                 
                    11.95                 

                    Leecia R. Eve                 
                    DEM                 
                    44                 
                    3.13                 

                    Zephyr Teachout                 
                    DEM                 
                    501                 
                    35.63                 

                    Blank                 

                    51                 
                    3.63                 

                    Void                 

                    17                 
                    1.21                 

                    Write-in                 

                    3                 
                    0.21",Letitia A. James,DEM,168,11.95,7471,Fulton
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 7471      
  Results for Fulton county 42 of 42 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    622                 
                    44.24                 

                    Letitia A. James                 
                    DEM                 
                    168                 
                    11.95                 

                    Leecia R. Eve                 
                    DEM                 
                    44                 
                    3.13                 

                    Zephyr Teachout                 
                    DEM                 
                    501                 
                    35.63                 

                    Blank                 

                    51                 
                    3.63                 

                    Void                 

                    17                 
                    1.21                 

                    Write-in                 

                    3                 
                    0.21",Leecia R. Eve,DEM,44,3.13,7471,Fulton
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 7471      
  Results for Fulton county 42 of 42 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    622                 
                    44.24                 

                    Letitia A. James                 
                    DEM                 
                    168                 
                    11.95                 

                    Leecia R. Eve                 
                    DEM                 
                    44                 
                    3.13                 

                    Zephyr Teachout                 
                    DEM                 
                    501                 
                    35.63                 

                    Blank                 

                    51                 
                    3.63                 

                    Void                 

                    17                 
                    1.21                 

                    Write-in                 

                    3                 
                    0.21",Zephyr Teachout,DEM,501,35.63,7471,Fulton
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 7471      
  Results for Fulton county 42 of 42 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    622                 
                    44.24                 

                    Letitia A. James                 
                    DEM                 
                    168                 
                    11.95                 

                    Leecia R. Eve                 
                    DEM                 
                    44                 
                    3.13                 

                    Zephyr Teachout                 
                    DEM                 
                    501                 
                    35.63                 

                    Blank                 

                    51                 
                    3.63                 

                    Void                 

                    17                 
                    1.21                 

                    Write-in                 

                    3                 
                    0.21",Blank,,51,3.63,7471,Fulton
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 7471      
  Results for Fulton county 42 of 42 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    622                 
                    44.24                 

                    Letitia A. James                 
                    DEM                 
                    168                 
                    11.95                 

                    Leecia R. Eve                 
                    DEM                 
                    44                 
                    3.13                 

                    Zephyr Teachout                 
                    DEM                 
                    501                 
                    35.63                 

                    Blank                 

                    51                 
                    3.63                 

                    Void                 

                    17                 
                    1.21                 

                    Write-in                 

                    3                 
                    0.21",Void,,17,1.21,7471,Fulton
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 7471      
  Results for Fulton county 42 of 42 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    622                 
                    44.24                 

                    Letitia A. James                 
                    DEM                 
                    168                 
                    11.95                 

                    Leecia R. Eve                 
                    DEM                 
                    44                 
                    3.13                 

                    Zephyr Teachout                 
                    DEM                 
                    501                 
                    35.63                 

                    Blank                 

                    51                 
                    3.63                 

                    Void                 

                    17                 
                    1.21                 

                    Write-in                 

                    3                 
                    0.21",Write-in,,3,0.21,7471,Fulton
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 9067      
  Results for Genesee county 53 of 53 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    689                 
                    46.18                 

                    Letitia A. James                 
                    DEM                 
                    195                 
                    13.07                 

                    Leecia R. Eve                 
                    DEM                 
                    80                 
                    5.36                 

                    Zephyr Teachout                 
                    DEM                 
                    457                 
                    30.63                 

                    Blank                 

                    53                 
                    3.55                 

                    Void                 

                    12                 
                    0.80                 

                    Write-in                 

                    6                 
                    0.40",Sean Patrick Maloney,DEM,689,46.18,9067,Genesee
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 9067      
  Results for Genesee county 53 of 53 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    689                 
                    46.18                 

                    Letitia A. James                 
                    DEM                 
                    195                 
                    13.07                 

                    Leecia R. Eve                 
                    DEM                 
                    80                 
                    5.36                 

                    Zephyr Teachout                 
                    DEM                 
                    457                 
                    30.63                 

                    Blank                 

                    53                 
                    3.55                 

                    Void                 

                    12                 
                    0.80                 

                    Write-in                 

                    6                 
                    0.40",Letitia A. James,DEM,195,13.07,9067,Genesee
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 9067      
  Results for Genesee county 53 of 53 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    689                 
                    46.18                 

                    Letitia A. James                 
                    DEM                 
                    195                 
                    13.07                 

                    Leecia R. Eve                 
                    DEM                 
                    80                 
                    5.36                 

                    Zephyr Teachout                 
                    DEM                 
                    457                 
                    30.63                 

                    Blank                 

                    53                 
                    3.55                 

                    Void                 

                    12                 
                    0.80                 

                    Write-in                 

                    6                 
                    0.40",Leecia R. Eve,DEM,80,5.36,9067,Genesee
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 9067      
  Results for Genesee county 53 of 53 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    689                 
                    46.18                 

                    Letitia A. James                 
                    DEM                 
                    195                 
                    13.07                 

                    Leecia R. Eve                 
                    DEM                 
                    80                 
                    5.36                 

                    Zephyr Teachout                 
                    DEM                 
                    457                 
                    30.63                 

                    Blank                 

                    53                 
                    3.55                 

                    Void                 

                    12                 
                    0.80                 

                    Write-in                 

                    6                 
                    0.40",Zephyr Teachout,DEM,457,30.63,9067,Genesee
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 9067      
  Results for Genesee county 53 of 53 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    689                 
                    46.18                 

                    Letitia A. James                 
                    DEM                 
                    195                 
                    13.07                 

                    Leecia R. Eve                 
                    DEM                 
                    80                 
                    5.36                 

                    Zephyr Teachout                 
                    DEM                 
                    457                 
                    30.63                 

                    Blank                 

                    53                 
                    3.55                 

                    Void                 

                    12                 
                    0.80                 

                    Write-in                 

                    6                 
                    0.40",Blank,,53,3.55,9067,Genesee
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 9067      
  Results for Genesee county 53 of 53 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    689                 
                    46.18                 

                    Letitia A. James                 
                    DEM                 
                    195                 
                    13.07                 

                    Leecia R. Eve                 
                    DEM                 
                    80                 
                    5.36                 

                    Zephyr Teachout                 
                    DEM                 
                    457                 
                    30.63                 

                    Blank                 

                    53                 
                    3.55                 

                    Void                 

                    12                 
                    0.80                 

                    Write-in                 

                    6                 
                    0.40",Void,,12,0.80,9067,Genesee
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 9067      
  Results for Genesee county 53 of 53 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    689                 
                    46.18                 

                    Letitia A. James                 
                    DEM                 
                    195                 
                    13.07                 

                    Leecia R. Eve                 
                    DEM                 
                    80                 
                    5.36                 

                    Zephyr Teachout                 
                    DEM                 
                    457                 
                    30.63                 

                    Blank                 

                    53                 
                    3.55                 

                    Void                 

                    12                 
                    0.80                 

                    Write-in                 

                    6                 
                    0.40",Write-in,,6,0.40,9067,Genesee
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 7276      
  Results for Greene county 104 of 104 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    640                 
                    32.02                 

                    Letitia A. James                 
                    DEM                 
                    181                 
                    9.05                 

                    Leecia R. Eve                 
                    DEM                 
                    62                 
                    3.10                 

                    Zephyr Teachout                 
                    DEM                 
                    1079                 
                    53.98                 

                    Blank                 

                    32                 
                    1.60                 

                    Void                 

                    4                 
                    0.20                 

                    Write-in                 

                    1                 
                    0.05",Sean Patrick Maloney,DEM,640,32.02,7276,Greene
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 7276      
  Results for Greene county 104 of 104 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    640                 
                    32.02                 

                    Letitia A. James                 
                    DEM                 
                    181                 
                    9.05                 

                    Leecia R. Eve                 
                    DEM                 
                    62                 
                    3.10                 

                    Zephyr Teachout                 
                    DEM                 
                    1079                 
                    53.98                 

                    Blank                 

                    32                 
                    1.60                 

                    Void                 

                    4                 
                    0.20                 

                    Write-in                 

                    1                 
                    0.05",Letitia A. James,DEM,181,9.05,7276,Greene
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 7276      
  Results for Greene county 104 of 104 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    640                 
                    32.02                 

                    Letitia A. James                 
                    DEM                 
                    181                 
                    9.05                 

                    Leecia R. Eve                 
                    DEM                 
                    62                 
                    3.10                 

                    Zephyr Teachout                 
                    DEM                 
                    1079                 
                    53.98                 

                    Blank                 

                    32                 
                    1.60                 

                    Void                 

                    4                 
                    0.20                 

                    Write-in                 

                    1                 
                    0.05",Leecia R. Eve,DEM,62,3.10,7276,Greene
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 7276      
  Results for Greene county 104 of 104 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    640                 
                    32.02                 

                    Letitia A. James                 
                    DEM                 
                    181                 
                    9.05                 

                    Leecia R. Eve                 
                    DEM                 
                    62                 
                    3.10                 

                    Zephyr Teachout                 
                    DEM                 
                    1079                 
                    53.98                 

                    Blank                 

                    32                 
                    1.60                 

                    Void                 

                    4                 
                    0.20                 

                    Write-in                 

                    1                 
                    0.05",Zephyr Teachout,DEM,1079,53.98,7276,Greene
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 7276      
  Results for Greene county 104 of 104 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    640                 
                    32.02                 

                    Letitia A. James                 
                    DEM                 
                    181                 
                    9.05                 

                    Leecia R. Eve                 
                    DEM                 
                    62                 
                    3.10                 

                    Zephyr Teachout                 
                    DEM                 
                    1079                 
                    53.98                 

                    Blank                 

                    32                 
                    1.60                 

                    Void                 

                    4                 
                    0.20                 

                    Write-in                 

                    1                 
                    0.05",Blank,,32,1.60,7276,Greene
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 7276      
  Results for Greene county 104 of 104 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    640                 
                    32.02                 

                    Letitia A. James                 
                    DEM                 
                    181                 
                    9.05                 

                    Leecia R. Eve                 
                    DEM                 
                    62                 
                    3.10                 

                    Zephyr Teachout                 
                    DEM                 
                    1079                 
                    53.98                 

                    Blank                 

                    32                 
                    1.60                 

                    Void                 

                    4                 
                    0.20                 

                    Write-in                 

                    1                 
                    0.05",Void,,4,0.20,7276,Greene
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 7276      
  Results for Greene county 104 of 104 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    640                 
                    32.02                 

                    Letitia A. James                 
                    DEM                 
                    181                 
                    9.05                 

                    Leecia R. Eve                 
                    DEM                 
                    62                 
                    3.10                 

                    Zephyr Teachout                 
                    DEM                 
                    1079                 
                    53.98                 

                    Blank                 

                    32                 
                    1.60                 

                    Void                 

                    4                 
                    0.20                 

                    Write-in                 

                    1                 
                    0.05",Write-in,,1,0.05,7276,Greene
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 881       
 Results for Hamilton county 11 of 11 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    83                 
                    35.93                 

                    Letitia A. James                 
                    DEM                 
                    32                 
                    13.85                 

                    Leecia R. Eve                 
                    DEM                 
                    13                 
                    5.63                 

                    Zephyr Teachout                 
                    DEM                 
                    93                 
                    40.26                 

                    Blank                 

                    10                 
                    4.33                 

                    Void                 

                    0                 
                    0.00                 

                    Write-in                 

                    0                 
                    0.00",Sean Patrick Maloney,DEM,83,35.93,881,Hamilton
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 881       
 Results for Hamilton county 11 of 11 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    83                 
                    35.93                 

                    Letitia A. James                 
                    DEM                 
                    32                 
                    13.85                 

                    Leecia R. Eve                 
                    DEM                 
                    13                 
                    5.63                 

                    Zephyr Teachout                 
                    DEM                 
                    93                 
                    40.26                 

                    Blank                 

                    10                 
                    4.33                 

                    Void                 

                    0                 
                    0.00                 

                    Write-in                 

                    0                 
                    0.00",Letitia A. James,DEM,32,13.85,881,Hamilton
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 881       
 Results for Hamilton county 11 of 11 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    83                 
                    35.93                 

                    Letitia A. James                 
                    DEM                 
                    32                 
                    13.85                 

                    Leecia R. Eve                 
                    DEM                 
                    13                 
                    5.63                 

                    Zephyr Teachout                 
                    DEM                 
                    93                 
                    40.26                 

                    Blank                 

                    10                 
                    4.33                 

                    Void                 

                    0                 
                    0.00                 

                    Write-in                 

                    0                 
                    0.00",Leecia R. Eve,DEM,13,5.63,881,Hamilton
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 881       
 Results for Hamilton county 11 of 11 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    83                 
                    35.93                 

                    Letitia A. James                 
                    DEM                 
                    32                 
                    13.85                 

                    Leecia R. Eve                 
                    DEM                 
                    13                 
                    5.63                 

                    Zephyr Teachout                 
                    DEM                 
                    93                 
                    40.26                 

                    Blank                 

                    10                 
                    4.33                 

                    Void                 

                    0                 
                    0.00                 

                    Write-in                 

                    0                 
                    0.00",Zephyr Teachout,DEM,93,40.26,881,Hamilton
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 881       
 Results for Hamilton county 11 of 11 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    83                 
                    35.93                 

                    Letitia A. James                 
                    DEM                 
                    32                 
                    13.85                 

                    Leecia R. Eve                 
                    DEM                 
                    13                 
                    5.63                 

                    Zephyr Teachout                 
                    DEM                 
                    93                 
                    40.26                 

                    Blank                 

                    10                 
                    4.33                 

                    Void                 

                    0                 
                    0.00                 

                    Write-in                 

                    0                 
                    0.00",Blank,,10,4.33,881,Hamilton
