,type,dt,next_dt,next_time_valid
95,feed,2019-07-31 04:40:00,2019-07-31 20:10:00,False
96,feed,2019-07-31 20:10:00,2019-07-31 21:00:00,True
97,feed,2019-07-31 21:00:00,2019-07-31 22:00:00,True
98,feed,2019-07-31 22:00:00,2019-07-31 22:20:00,True
99,sleep,2019-07-31 22:20:00,2019-08-01 03:13:00,True
100,sleep,2019-08-01 03:13:00,2019-08-01 04:40:00,True
101,feed,2019-08-01 04:40:00,2019-08-01 10:51:00,True
102,sleep,2019-08-01 10:51:00,2019-08-01 11:15:00,True
103,wake,2019-08-01 11:15:00,2019-08-01 11:40:00,True
104,feed,2019-08-01 11:40:00,2019-08-01 12:09:00,True
105,sleep,2019-08-01 12:09:00,2019-08-01 13:50:00,True
106,wake,2019-08-01 13:50:00,2019-08-01 14:00:00,True
107,feed,2019-08-01 14:00:00,2019-08-01 15:30:00,True
108,feed,2019-08-01 15:30:00,2019-08-01 15:40:00,True
109,sleep,2019-08-01 15:40:00,2019-08-01 16:09:00,True
110,wake,2019-08-01 16:09:00,2019-08-01 17:45:00,True
111,feed,2019-08-01 17:45:00,2019-08-01 17:50:00,True
112,sleep,2019-08-01 17:50:00,2019-08-01 18:14:00,True
113,wake,2019-08-01 18:14:00,2019-08-01 20:00:00,True
114,feed,2019-08-01 20:00:00,2019-08-01 20:30:00,True
115,sleep,2019-08-01 20:30:00,2019-08-01 21:40:00,True
116,feed,2019-08-01 21:40:00,2019-08-01 21:50:00,True
117,sleep,2019-08-01 21:50:00,2019-08-01 23:00:00,True
118,feed,2019-08-01 23:00:00,2019-08-01 23:15:00,True
119,sleep,2019-08-01 23:15:00,2019-08-02 03:30:00,True
120,feed,2019-08-02 03:30:00,2019-08-02 03:45:00,True
121,sleep,2019-08-02 03:45:00,2019-08-02 05:00:00,True
122,feed,2019-08-02 05:00:00,2019-08-02 05:15:00,True
123,sleep,2019-08-02 05:15:00,2019-08-02 09:00:00,True
124,wake,2019-08-02 09:00:00,2019-08-02 10:30:00,True
125,feed,2019-08-02 10:30:00,2019-08-02 11:30:00,True
126,feed,2019-08-02 11:30:00,2019-08-02 11:40:00,True
127,sleep,2019-08-02 11:40:00,2019-08-02 12:07:00,True
128,wake,2019-08-02 12:07:00,2019-08-02 13:30:00,True
129,sleep,2019-08-02 13:30:00,2019-08-02 14:00:00,True
130,wake,2019-08-02 14:00:00,2019-08-02 15:40:00,True
131,feed,2019-08-02 15:40:00,2019-08-02 15:56:00,True
132,sleep,2019-08-02 15:56:00,2019-08-02 16:20:00,True
133,wake,2019-08-02 16:20:00,2019-08-02 17:20:00,True
134,feed,2019-08-02 17:20:00,2019-08-02 17:40:00,True
135,sleep,2019-08-02 17:40:00,2019-08-02 18:36:00,True
136,wake,2019-08-02 18:36:00,2019-08-02 19:40:00,True
137,feed,2019-08-02 19:40:00,2019-08-02 21:35:00,True
138,feed,2019-08-02 21:35:00,2019-08-02 09:50:00,False
139,sleep,2019-08-02 09:50:00,2019-08-02 03:15:00,False
140,feed,2019-08-02 03:15:00,2019-08-02 03:30:00,True
141,sleep,2019-08-02 03:30:00,2019-08-02 05:30:00,True
142,feed,2019-08-02 05:30:00,2019-08-02 05:45:00,True
143,sleep,2019-08-02 05:45:00,2019-08-02 08:50:00,True
144,feed,2019-08-02 08:50:00,2019-08-02 10:30:00,True
145,feed,2019-08-02 10:30:00,2019-08-02 11:15:00,True
146,feed,2019-08-02 11:15:00,2019-08-02 12:00:00,True
147,sleep,2019-08-02 12:00:00,2019-08-02 12:45:00,True
148,wake,2019-08-02 12:45:00,2019-08-02 13:30:00,True
149,feed,2019-08-02 13:30:00,2019-08-02 14:30:00,True
150,sleep,2019-08-02 14:30:00,2019-08-02 15:10:00,True
151,wake,2019-08-02 15:10:00,2019-08-02 15:25:00,True
152,feed,2019-08-02 15:25:00,2019-08-02 16:00:00,True
153,sleep,2019-08-02 16:00:00,2019-08-02 16:50:00,True
154,wake,2019-08-02 16:50:00,2019-08-02 17:20:00,True
155,feed,2019-08-02 17:20:00,,False
